Year,MU.Name,Location,River.condition.Category,Stream.Name,Affiliation,Collection.Method,Rec.Date,Reach,Rec.Sex,Carc.Cond,Percent.Spawn,POH,Rec.Adipose,Clip.Condition,Pred.Affected,Recovery.Comments,Scalebook.Num,Row.Num,Scale.File,Gilbert.Rich.Age.Scale,European.Age.Scale,Partial.Age.Scale,Otolith.Samples,Otolith.Vial.Num
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-18,4,F,1,100,72.5,P,NA,,,13573,3,ch2016-0329,3M,M3,RG,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-10-04,4,F,3,100,65.5,P,NA,,recovered by sockeye crew after chinook crew left,13460,1,ch2016-0328,2M,M2,RG,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-16,4,F,1,100,67.8,P,NA,,,13599,2,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-24,5,F,1,100,67.1,P,NA,,,13555,1,ch2016-0328,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-24,4,F,1,100,65.4,P,NA,,,13570,3,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-22,4,F,2,100,63.5,P,NA,,,13586,4,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-22,4,F,1,100,69,P,NA,,,13583,1,ch2016-0328,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-18,5,M,1,NA,74.8,P,NA,,,13579,4,ch2016-0329,3M,M3,RG,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-19,6,M,1,NA,72,P,NA,,,13579,5,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-20,4,F,2,100,71,P,NA,,,13581,4,ch2016-0329,2M,M2,RG,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-25,6,F,1,100,60.9,P,NA,,,13555,3,ch2016-0328,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-24,4,F,1,100,64.4,P,NA,,,13570,4,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-20,4,F,2,100,66.6,P,NA,,,13581,5,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-18,3,F,1,100,68.1,P,NA,,,13579,3,ch2016-0329,62,1.4,,,
